CMU-Stat-Xfer_a2e_cn_primary 0.3774 0.4448 0.2986 0.3772 0.4447 0.2984 9.731 10.07 8.399 0.5158 0.4628 0.5669 0.6082 0.6684 0.5484
SAKHR_a2e_cn_primary 0.3681 0.4185 0.3147 0.3680 0.4184 0.3147 9.867 9.982 8.887 0.5075 0.4626 0.5508 0.6320 0.6737 0.5913
UPC.LSI_a2e_cn_primary 0.3588 0.4344 0.2778 0.3588 0.4345 0.2777 9.404 10.05 7.655 0.5188 0.4630 0.5725 0.5866 0.6515 0.5216
UvA_a2e_cn_primary 0.3221 0.3820 0.2565 0.3218 0.3816 0.2563 8.621 9.063 7.458 0.5995 0.5437 0.6533 0.5863 0.6457 0.5278
KCSL_a2e_cn_primary 0.1422 0.1670 0.1161 0.1420 0.1669 0.1158 6.647 6.959 5.820 0.6590 0.6353 0.6818 0.4937 0.5398 0.4482
TLVEBMT_a2e_cn_primary 0.0703 0.0872 0.0527 0.0703 0.0872 0.0526 3.879 4.370 3.165 0.7483 0.7274 0.7685 0.3853 0.4262 0.3450
2-CUED_a2e_cn_primary 0.4834 0.5641 0.3960 0.4833 0.5640 0.3959 11.01 11.31 9.603 0.4489 0.3861 0.5093 0.6570 0.7152 0.5999
2-LIUM-SYSTRAN_a2e_cn_contrast2_bugfix(1)(2) 0.4805 0.5669 0.3833 0.4804 0.5667 0.3831 11.04 11.44 9.456 0.4523 0.3831 0.5190 0.6539 0.7193 0.5892
2-isi-lw_a2e_cn_combo1 0.4802 0.5600 0.3914 0.4801 0.5598 0.3913 10.85 11.24 9.396 0.4643 0.3887 0.5371 0.6642 0.7319 0.5969
2-LIUM-SYSTRAN_a2e_cn_primary_bugfix(1)(2) 0.4790 0.5659 0.3807 0.4788 0.5658 0.3805 10.99 11.42 9.420 0.4564 0.3851 0.5253 0.6532 0.7191 0.5883
2-stanford_a2e_cn_contrast1 0.4786 0.5664 0.3849 0.4783 0.5660 0.3846 10.97 11.41 9.397 0.4417 0.3740 0.5069 0.6527 0.7164 0.5900
2-stanford_a2e_cn_primary 0.4781 0.5673 0.3843 0.4777 0.5668 0.3840 10.97 11.44 9.392 0.4399 0.3709 0.5065 0.6514 0.7153 0.5882
2-IBM_a2e_cn_combo0 0.4775 0.5636 0.3871 0.4773 0.5634 0.3870 11.03 11.54 9.466 0.4394 0.3713 0.5051 0.6526 0.7142 0.5924
2-LIUM-SYSTRAN_a2e_cn_primary 0.4773 0.5629 0.3800 0.4772 0.5627 0.3799 10.96 11.38 9.412 0.4565 0.3851 0.5252 0.6526 0.7185 0.5879
